date,description,counterparty,category,amount_usd_thousands,quarter
2013-05-05,Trade receivables collection,Hospital Group 08,revenue,16063,2013Q2
2013-05-05,Research & development,R&D Programs 2,rnd,-1449,2013Q2
2013-05-07,Research & development,R&D Programs 1,rnd,-15392,2013Q2
2013-05-08,Trade receivables collection,Hospital Group 29,revenue,4162,2013Q2
2013-05-10,Revolver repayment,Citibank N.A. as Admin Agent,debt_repayment,-20000,2013Q2
2013-05-11,Trade receivables collection,Hospital Group 23,revenue,102,2013Q2
2013-05-12,Materials & production,Contract Manufacturer 1,cogs,-64474,2013Q2
2013-05-14,"Selling, general & administrative",Corporate Services 1,sga,-72,2013Q2
2013-05-15,Materials & production,Contract Manufacturer 4,cogs,-24728,2013Q2
2013-05-15,Materials & production,Contract Manufacturer 3,cogs,-2694,2013Q2
2013-05-17,Research & development,R&D Programs 4,rnd,-16488,2013Q2
2013-05-17,Device Strategy program cash charge,MedDevice Collection & Destruction Inc,device_strategy,-14513,2013Q2
2013-05-18,Trade receivables collection,Hospital Group 26,revenue,26914,2013Q2
2013-05-20,Trade receivables collection,Hospital Group 20,revenue,73635,2013Q2
2013-05-20,Quality remediation cash charge,FDA Remediation Consultants Group,quality_matters,-2262,2013Q2
2013-05-21,"Selling, general & administrative",Corporate Services 2,sga,-7272,2013Q2
2013-05-22,Trade receivables collection,Hospital Group 17,revenue,82186,2013Q2
2013-05-23,Materials & production,Contract Manufacturer 2,cogs,-9055,2013Q2
2013-05-24,Trade receivables collection,Hospital Group 05,revenue,80730,2013Q2
2013-05-24,Trade receivables collection,Hospital Group 11,revenue,41531,2013Q2
2013-05-25,"Selling, general & administrative",Corporate Services 4,sga,-3301,2013Q2
2013-05-25,Device Strategy program cash charge,Device Quality Systems Upgrade Co,device_strategy,-9368,2013Q2
2013-05-26,Trade receivables collection,Hospital Group 14,revenue,26924,2013Q2
2013-05-27,Research & development,R&D Programs 3,rnd,-1715,2013Q2
2013-06-03,Trade receivables collection,Hospital Group 15,revenue,75635,2013Q2
2013-06-04,"Selling, general & administrative",Corporate Services 3,sga,-6433,2013Q2
2013-06-04,"Selling, general & administrative",Corporate Services 4,sga,-13586,2013Q2
2013-06-05,Research & development,R&D Programs 2,rnd,-311,2013Q2
2013-06-07,Trade receivables collection,Hospital Group 21,revenue,82906,2013Q2
2013-06-07,Research & development,R&D Programs 3,rnd,-10468,2013Q2
2013-06-11,Materials & production,Contract Manufacturer 4,cogs,-19379,2013Q2
2013-06-14,Trade receivables collection,Hospital Group 24,revenue,12400,2013Q2
2013-06-14,Materials & production,Contract Manufacturer 2,cogs,-119075,2013Q2
2013-06-14,Quality remediation cash charge,Sterile Process Validation Services,quality_matters,-11637,2013Q2
2013-06-15,Device Strategy program cash charge,Pump Retirement Logistics LLC,device_strategy,-1570,2013Q2
2013-06-17,Trade receivables collection,Hospital Group 27,revenue,17258,2013Q2
2013-06-18,Trade receivables collection,Hospital Group 18,revenue,46269,2013Q2
2013-06-19,Trade receivables collection,Hospital Group 09,revenue,1192,2013Q2
2013-06-20,"Selling, general & administrative",Corporate Services 1,sga,-3515,2013Q2
2013-06-20,Research & development,R&D Programs 1,rnd,-1145,2013Q2
2013-06-20,Device Strategy program cash charge,Customer Sales Allowance - Credit Memo,device_strategy,-11588,2013Q2
2013-06-21,"Selling, general & administrative",Corporate Services 2,sga,-546,2013Q2
2013-06-22,Materials & production,Contract Manufacturer 3,cogs,-19561,2013Q2
2013-06-23,Trade receivables collection,Hospital Group 03,revenue,47086,2013Q2
2013-06-23,Trade receivables collection,Hospital Group 12,revenue,128347,2013Q2
2013-06-24,Materials & production,Contract Manufacturer 1,cogs,-122229,2013Q2
2013-06-28,Trade receivables collection,Hospital Group 30,revenue,14414,2013Q2
2013-06-29,Research & development,R&D Programs 4,rnd,-13269,2013Q2
2013-06-30,Trade receivables collection,Hospital Group 06,revenue,33561,2013Q2
2013-06-30,Interest payment on credit facilities,Citibank N.A. as Admin Agent,interest,-20300,2013Q2
2013-06-30,Income tax payment/(refund),Tax Authorities,tax,-14400,2013Q2
2013-07-05,Research & development,R&D Programs 2,rnd,-21652,2013Q3
2013-07-08,Materials & production,Contract Manufacturer 3,cogs,-19440,2013Q3
2013-07-09,Trade receivables collection,Hospital Group 04,revenue,20399,2013Q3
2013-07-10,Trade receivables collection,Hospital Group 10,revenue,2118,2013Q3
2013-07-11,Research & development,R&D Programs 1,rnd,-5483,2013Q3
2013-07-11,Research & development,R&D Programs 4,rnd,-10554,2013Q3
2013-07-12,Trade receivables collection,Hospital Group 22,revenue,7054,2013Q3
2013-07-12,Quality remediation cash charge,Quality Compliance Partners LLP,quality_matters,-662,2013Q3
2013-07-13,Trade receivables collection,Hospital Group 16,revenue,29006,2013Q3
2013-07-13,Research & development,R&D Programs 3,rnd,-3953,2013Q3
2013-07-14,Trade receivables collection,Hospital Group 19,revenue,1471,2013Q3
2013-07-14,Trade receivables collection,Hospital Group 25,revenue,7418,2013Q3
2013-07-17,Trade receivables collection,Hospital Group 13,revenue,73803,2013Q3
2013-07-17,Materials & production,Contract Manufacturer 2,cogs,-26123,2013Q3
2013-07-18,Trade receivables collection,Hospital Group 07,revenue,45321,2013Q3
2013-07-19,Trade receivables collection,Hospital Group 01,revenue,19466,2013Q3
2013-07-19,Trade receivables collection,Hospital Group 28,revenue,2159,2013Q3
2013-07-19,"Selling, general & administrative",Corporate Services 1,sga,-10702,2013Q3
2013-07-19,Device Strategy program cash charge,Infusion Replacement Program Admin,device_strategy,-1765,2013Q3
2013-07-23,Materials & production,Contract Manufacturer 1,cogs,-23254,2013Q3
2013-07-24,Device Strategy program cash charge,Pump Retirement Logistics LLC,device_strategy,-3867,2013Q3
2013-07-25,Materials & production,Contract Manufacturer 4,cogs,-36742,2013Q3
2013-07-26,Quality remediation cash charge,Quality Compliance Partners LLP,quality_matters,-3946,2013Q3
2013-07-29,"Selling, general & administrative",Corporate Services 3,sga,-8848,2013Q3
2013-07-29,"Selling, general & administrative",Corporate Services 2,sga,-885,2013Q3
2013-07-31,"Selling, general & administrative",Corporate Services 4,sga,-3647,2013Q3
2013-08-05,Materials & production,Contract Manufacturer 1,cogs,-84076,2013Q3
2013-08-07,Trade receivables collection,Hospital Group 05,revenue,9460,2013Q3
2013-08-08,Research & development,R&D Programs 1,rnd,-12557,2013Q3
2013-08-09,"Selling, general & administrative",Corporate Services 3,sga,-1623,2013Q3
2013-08-10,Trade receivables collection,Hospital Group 17,revenue,26869,2013Q3
2013-08-10,Trade receivables collection,Hospital Group 26,revenue,54011,2013Q3
2013-08-12,Trade receivables collection,Hospital Group 29,revenue,37368,2013Q3
2013-08-12,"Selling, general & administrative",Corporate Services 2,sga,-6152,2013Q3
2013-08-13,Trade receivables collection,Hospital Group 02,revenue,93597,2013Q3
2013-08-13,Trade receivables collection,Hospital Group 14,revenue,71238,2013Q3
2013-08-14,Trade receivables collection,Hospital Group 20,revenue,30065,2013Q3
2013-08-15,"Selling, general & administrative",Corporate Services 4,sga,-1570,2013Q3
2013-08-15,Revolver repayment,Citibank N.A. as Admin Agent,debt_repayment,-50000,2013Q3
2013-08-16,Device Strategy program cash charge,MedDevice Collection & Destruction Inc,device_strategy,-11338,2013Q3
2013-08-17,"Selling, general & administrative",Corporate Services 1,sga,-3046,2013Q3
2013-08-17,Research & development,R&D Programs 4,rnd,-7379,2013Q3
2013-08-18,Trade receivables collection,Hospital Group 23,revenue,10354,2013Q3
2013-08-18,Quality remediation cash charge,FDA Remediation Consultants Group,quality_matters,-5130,2013Q3
2013-08-19,Device Strategy program cash charge,Device Quality Systems Upgrade Co,device_strategy,-3178,2013Q3
2013-08-21,Trade receivables collection,Hospital Group 08,revenue,39869,2013Q3
2013-08-22,Research & development,R&D Programs 3,rnd,-11831,2013Q3
2013-08-24,Materials & production,Contract Manufacturer 2,cogs,-42131,2013Q3
2013-08-26,Materials & production,Contract Manufacturer 4,cogs,-36088,2013Q3
2013-08-26,Materials & production,Contract Manufacturer 3,cogs,-85295,2013Q3
2013-08-27,Research & development,R&D Programs 2,rnd,-2423,2013Q3
2013-08-30,Trade receivables collection,Hospital Group 11,revenue,57227,2013Q3
2013-09-04,Trade receivables collection,Hospital Group 27,revenue,153890,2013Q3
2013-09-04,Research & development,R&D Programs 1,rnd,-69,2013Q3
2013-09-07,Trade receivables collection,Hospital Group 12,revenue,9216,2013Q3
2013-09-07,Materials & production,Contract Manufacturer 1,cogs,-5665,2013Q3
2013-09-09,Trade receivables collection,Hospital Group 30,revenue,11987,2013Q3
2013-09-10,Research & development,R&D Programs 3,rnd,-2440,2013Q3
2013-09-11,Materials & production,Contract Manufacturer 3,cogs,-160065,2013Q3
2013-09-11,Research & development,R&D Programs 2,rnd,-430,2013Q3
2013-09-12,Trade receivables collection,Hospital Group 09,revenue,55177,2013Q3
2013-09-13,Trade receivables collection,Hospital Group 15,revenue,12396,2013Q3
2013-09-13,Research & development,R&D Programs 4,rnd,-229,2013Q3
2013-09-14,"Selling, general & administrative",Corporate Services 2,sga,-2427,2013Q3
2013-09-15,Trade receivables collection,Hospital Group 24,revenue,5681,2013Q3
2013-09-16,"Selling, general & administrative",Corporate Services 3,sga,-14623,2013Q3
2013-09-18,Materials & production,Contract Manufacturer 2,cogs,-14152,2013Q3
2013-09-19,Materials & production,Contract Manufacturer 4,cogs,-93169,2013Q3
2013-09-19,"Selling, general & administrative",Corporate Services 4,sga,-6056,2013Q3
2013-09-21,Quality remediation cash charge,Sterile Process Validation Services,quality_matters,-262,2013Q3
2013-09-22,Trade receivables collection,Hospital Group 18,revenue,56251,2013Q3
2013-09-22,"Selling, general & administrative",Corporate Services 1,sga,-221,2013Q3
2013-09-22,Device Strategy program cash charge,Customer Sales Allowance - Credit Memo,device_strategy,-14969,2013Q3
2013-09-23,Device Strategy program cash charge,Pump Retirement Logistics LLC,device_strategy,-4883,2013Q3
2013-09-27,Trade receivables collection,Hospital Group 03,revenue,2184,2013Q3
2013-09-29,Trade receivables collection,Hospital Group 06,revenue,30088,2013Q3
2013-09-30,Trade receivables collection,Hospital Group 21,revenue,34857,2013Q3
2013-09-30,Interest payment on credit facilities,Citibank N.A. as Admin Agent,interest,-20000,2013Q3
2013-09-30,Income tax payment/(refund),Tax Authorities,tax,-20400,2013Q3
2013-10-04,Research & development,R&D Programs 1,rnd,-7357,2013Q4
2013-10-06,Research & development,R&D Programs 2,rnd,-7088,2013Q4
2013-10-07,Research & development,R&D Programs 4,rnd,-5892,2013Q4
2013-10-08,Trade receivables collection,Hospital Group 04,revenue,17050,2013Q4
2013-10-08,Trade receivables collection,Hospital Group 28,revenue,39322,2013Q4
2013-10-10,Research & development,R&D Programs 3,rnd,-3841,2013Q4
2013-10-14,Quality remediation cash charge,Quality Compliance Partners LLP,quality_matters,-958,2013Q4
2013-10-15,"Selling, general & administrative",Corporate Services 1,sga,-4431,2013Q4
2013-10-16,Trade receivables collection,Hospital Group 13,revenue,157761,2013Q4
2013-10-17,Materials & production,Contract Manufacturer 3,cogs,-73095,2013Q4
2013-10-18,Device Strategy program cash charge,Infusion Replacement Program Admin,device_strategy,-8910,2013Q4
2013-10-18,Quality remediation cash charge,Quality Compliance Partners LLP,quality_matters,-845,2013Q4
2013-10-19,Materials & production,Contract Manufacturer 2,cogs,-29461,2013Q4
2013-10-19,"Selling, general & administrative",Corporate Services 3,sga,-6654,2013Q4
2013-10-20,Trade receivables collection,Hospital Group 22,revenue,41322,2013Q4
2013-10-20,"Selling, general & administrative",Corporate Services 4,sga,-10071,2013Q4
2013-10-21,Trade receivables collection,Hospital Group 16,revenue,51904,2013Q4
2013-10-21,Device Strategy program cash charge,Pump Retirement Logistics LLC,device_strategy,-1863,2013Q4
2013-10-22,Trade receivables collection,Hospital Group 19,revenue,33768,2013Q4
2013-10-22,Materials & production,Contract Manufacturer 1,cogs,-34344,2013Q4
2013-10-24,Trade receivables collection,Hospital Group 07,revenue,18695,2013Q4
2013-10-24,Trade receivables collection,Hospital Group 25,revenue,21687,2013Q4
2013-10-24,"Selling, general & administrative",Corporate Services 2,sga,-3153,2013Q4
2013-10-25,Trade receivables collection,Hospital Group 01,revenue,29768,2013Q4
2013-10-27,Trade receivables collection,Hospital Group 10,revenue,27719,2013Q4
2013-10-27,Materials & production,Contract Manufacturer 4,cogs,-65003,2013Q4
2013-11-03,Trade receivables collection,Hospital Group 20,revenue,25487,2013Q4
2013-11-06,Trade receivables collection,Hospital Group 05,revenue,20111,2013Q4
2013-11-07,Trade receivables collection,Hospital Group 02,revenue,2083,2013Q4
2013-11-07,Trade receivables collection,Hospital Group 26,revenue,3429,2013Q4
2013-11-07,Trade receivables collection,Hospital Group 29,revenue,26935,2013Q4
2013-11-08,"Selling, general & administrative",Corporate Services 3,sga,-1561,2013Q4
2013-11-09,Trade receivables collection,Hospital Group 14,revenue,16842,2013Q4
2013-11-09,Research & development,R&D Programs 2,rnd,-14175,2013Q4
2013-11-10,Trade receivables collection,Hospital Group 23,revenue,20470,2013Q4
2013-11-10,Device Strategy program cash charge,Device Quality Systems Upgrade Co,device_strategy,-16018,2013Q4
2013-11-11,Device Strategy program cash charge,MedDevice Collection & Destruction Inc,device_strategy,-1907,2013Q4
2013-11-12,Materials & production,Contract Manufacturer 2,cogs,-46535,2013Q4
2013-11-13,Materials & production,Contract Manufacturer 4,cogs,-78538,2013Q4
2013-11-13,Research & development,R&D Programs 4,rnd,-8153,2013Q4
2013-11-16,"Selling, general & administrative",Corporate Services 4,sga,-3614,2013Q4
2013-11-20,"Selling, general & administrative",Corporate Services 2,sga,-1202,2013Q4
2013-11-20,Revolver repayment,Citibank N.A. as Admin Agent,debt_repayment,-70000,2013Q4
2013-11-21,Trade receivables collection,Hospital Group 11,revenue,17095,2013Q4
2013-11-21,Trade receivables collection,Hospital Group 17,revenue,19116,2013Q4
2013-11-22,Materials & production,Contract Manufacturer 1,cogs,-7478,2013Q4
2013-11-25,Materials & production,Contract Manufacturer 3,cogs,-181561,2013Q4
2013-11-26,Trade receivables collection,Hospital Group 08,revenue,14862,2013Q4
2013-11-26,Quality remediation cash charge,FDA Remediation Consultants Group,quality_matters,-6868,2013Q4
2013-11-27,"Selling, general & administrative",Corporate Services 1,sga,-2445,2013Q4
2013-11-27,Research & development,R&D Programs 1,rnd,-603,2013Q4
2013-11-29,Research & development,R&D Programs 3,rnd,-3516,2013Q4
2013-12-04,Trade receivables collection,Hospital Group 03,revenue,89386,2013Q4
2013-12-04,Materials & production,Contract Manufacturer 1,cogs,-51639,2013Q4
2013-12-04,"Selling, general & administrative",Corporate Services 1,sga,-837,2013Q4
2013-12-06,"Selling, general & administrative",Corporate Services 4,sga,-12777,2013Q4
2013-12-06,Research & development,R&D Programs 4,rnd,-19751,2013Q4
2013-12-07,Trade receivables collection,Hospital Group 15,revenue,14805,2013Q4
2013-12-08,Trade receivables collection,Hospital Group 24,revenue,41159,2013Q4
2013-12-11,"Selling, general & administrative",Corporate Services 2,sga,-10704,2013Q4
2013-12-11,Research & development,R&D Programs 3,rnd,-4953,2013Q4
2013-12-12,Trade receivables collection,Hospital Group 27,revenue,130442,2013Q4
2013-12-13,Trade receivables collection,Hospital Group 06,revenue,3425,2013Q4
2013-12-14,Research & development,R&D Programs 2,rnd,-2781,2013Q4
2013-12-15,Device Strategy program cash charge,Customer Sales Allowance - Credit Memo,device_strategy,-1196,2013Q4
2013-12-18,Device Strategy program cash charge,Pump Retirement Logistics LLC,device_strategy,-106,2013Q4
2013-12-19,Quality remediation cash charge,Sterile Process Validation Services,quality_matters,-1329,2013Q4
2013-12-20,"Selling, general & administrative",Corporate Services 3,sga,-4751,2013Q4
2013-12-21,Trade receivables collection,Hospital Group 18,revenue,12080,2013Q4
2013-12-21,Materials & production,Contract Manufacturer 4,cogs,-2464,2013Q4
2013-12-23,Materials & production,Contract Manufacturer 3,cogs,-64517,2013Q4
2013-12-24,Trade receivables collection,Hospital Group 21,revenue,58612,2013Q4
2013-12-26,Materials & production,Contract Manufacturer 2,cogs,-10165,2013Q4
2013-12-30,Trade receivables collection,Hospital Group 12,revenue,13695,2013Q4
2013-12-30,Trade receivables collection,Hospital Group 30,revenue,21544,2013Q4
2013-12-31,Trade receivables collection,Hospital Group 09,revenue,49426,2013Q4
2013-12-31,Research & development,R&D Programs 1,rnd,-4890,2013Q4
2013-12-31,Interest payment on credit facilities,Citibank N.A. as Admin Agent,interest,-19600,2013Q4
2013-12-31,Income tax payment/(refund),Tax Authorities,tax,-23400,2013Q4
2014-01-06,Research & development,R&D Programs 1,rnd,-6443,2014Q1
2014-01-06,Research & development,R&D Programs 4,rnd,-10926,2014Q1
2014-01-07,Trade receivables collection,Hospital Group 04,revenue,24567,2014Q1
2014-01-07,Trade receivables collection,Hospital Group 10,revenue,18452,2014Q1
2014-01-12,Trade receivables collection,Hospital Group 01,revenue,8410,2014Q1
2014-01-12,Device Strategy program cash charge,Infusion Replacement Program Admin,device_strategy,-8248,2014Q1
2014-01-13,Trade receivables collection,Hospital Group 25,revenue,80545,2014Q1
2014-01-14,Materials & production,Contract Manufacturer 3,cogs,-8553,2014Q1
2014-01-16,"Selling, general & administrative",Corporate Services 1,sga,-1793,2014Q1
2014-01-16,Research & development,R&D Programs 3,rnd,-2532,2014Q1
2014-01-18,Research & development,R&D Programs 2,rnd,-5217,2014Q1
2014-01-19,Trade receivables collection,Hospital Group 07,revenue,18588,2014Q1
2014-01-19,"Selling, general & administrative",Corporate Services 3,sga,-2498,2014Q1
2014-01-20,"Selling, general & administrative",Corporate Services 4,sga,-3743,2014Q1
2014-01-22,Trade receivables collection,Hospital Group 22,revenue,83735,2014Q1
2014-01-23,Trade receivables collection,Hospital Group 16,revenue,229,2014Q1
2014-01-23,Trade receivables collection,Hospital Group 19,revenue,29580,2014Q1
2014-01-24,Trade receivables collection,Hospital Group 28,revenue,4741,2014Q1
2014-01-24,Materials & production,Contract Manufacturer 4,cogs,-27298,2014Q1
2014-01-24,Materials & production,Contract Manufacturer 2,cogs,-28703,2014Q1
2014-01-24,"Selling, general & administrative",Corporate Services 2,sga,-5124,2014Q1
2014-01-28,Trade receivables collection,Hospital Group 13,revenue,8752,2014Q1
2014-01-28,Materials & production,Contract Manufacturer 1,cogs,-33924,2014Q1
2014-01-30,Device Strategy program cash charge,Pump Retirement Logistics LLC,device_strategy,-5867,2014Q1
2014-01-31,Quality remediation cash charge,Quality Compliance Partners LLP,quality_matters,-6278,2014Q1
2014-01-31,Quality remediation cash charge,Quality Compliance Partners LLP,quality_matters,-3169,2014Q1
2014-02-01,Trade receivables collection,Hospital Group 26,revenue,213901,2014Q1
2014-02-05,Trade receivables collection,Hospital Group 20,revenue,35337,2014Q1
2014-02-07,Trade receivables collection,Hospital Group 11,revenue,14192,2014Q1
2014-02-07,"Selling, general & administrative",Corporate Services 4,sga,-183,2014Q1
2014-02-09,Trade receivables collection,Hospital Group 14,revenue,14606,2014Q1
2014-02-09,"Selling, general & administrative",Corporate Services 3,sga,-5611,2014Q1
2014-02-11,Trade receivables collection,Hospital Group 08,revenue,19060,2014Q1
2014-02-13,Materials & production,Contract Manufacturer 3,cogs,-35989,2014Q1
2014-02-13,"Selling, general & administrative",Corporate Services 1,sga,-2072,2014Q1
2014-02-13,Research & development,R&D Programs 3,rnd,-970,2014Q1
2014-02-14,Revolver draw - working capital,Citibank N.A. as Admin Agent,debt_draw,10000,2014Q1
